"","X","id","data","n","model","acquisition","logloss","par1","par2","tau","beta","predloss"
"10006",1,95,"linear",110,"GP","ExpectedImp",148.463358323656,2.99790098476118e+64,1.04534716543723,9.96295534697379,NA,0
"10007",1,95,"linear",130,"MEB","UCB",176.768080385335,5.88033255795916e+76,NA,0.42911496658304,0.0067417215854733,0.0980473966341188
"10008",1,95,"linear",130,"KAL","UCB",176.768166636397,5.88083976476187e+76,0.013213449360445,0.436855127695362,0.00674205768159923,0.0984342986229523
"10009",1,95,"linear",130,"GP","UCB",176.0024847281,2.73468884219839e+76,6.62620491636312,1.89342515586276,1.21354819928396,0.06843261855692
"10010",1,95,"linear",130,"MEB","Thompon",175.664935197158,1.95124597411289e+76,NA,1.45184324426754,NA,0
"10011",1,95,"linear",130,"KAL","Thompon",176.008714381049,2.75177817966131e+76,3.2818105143057,0.951123316552222,NA,0
"10012",1,95,"linear",130,"GP","Thompon",171.357643929569,2.62832575392208e+74,12.2362859889144,5.63439204893837,NA,0
"10013",1,95,"linear",130,"MEB","ProbOfImp",176.517354731119,4.57628559475826e+76,NA,143.147152540729,NA,0
"10014",1,95,"linear",130,"KAL","ProbOfImp",176.516992286562,4.57462724549855e+76,72.606050954311,134.701854446676,NA,0
"10015",1,95,"linear",130,"GP","ProbOfImp",176.542867380576,4.6945408531818e+76,9.43483604274676,3.28088789308881,NA,0
"10016",1,95,"linear",130,"MEB","ExpectedImp",175.000271039547,1.00381121628332e+76,NA,14.0151737872566,NA,0
"10017",1,95,"linear",130,"KAL","ExpectedImp",175.000876043886,1.00441871017475e+76,0.0505388537682289,13.9980476109349,NA,0
"10018",1,95,"linear",130,"GP","ExpectedImp",176.727153805004,5.64452888714114e+76,11.1088646460766,2.09459306641202,NA,0
"10019",1,95,"linear",150,"MEB","UCB",203.666156757431,2.82545262768854e+88,NA,0.588400770989036,0.00675670815760971,0.249188464088124
"10020",1,95,"linear",150,"KAL","UCB",203.667214850207,2.82844380089224e+88,0.0344042685601175,131.155234523276,0.00691517016578338,0.249385804181484
"10021",1,95,"linear",150,"GP","UCB",204.310844221938,5.38359323327166e+88,5.1880499434991,2.1136218223444,2.49836413794291,0.0390540389444228
"10022",1,95,"linear",150,"MEB","Thompon",202.401609454472,7.97814847600705e+87,NA,3.19873199234672,NA,0.193697927814227
"10023",1,95,"linear",150,"KAL","Thompon",203.11371584079,1.62617016360608e+88,0.187381371904037,1.82931627728334,NA,0.415097792893438
"10024",1,95,"linear",150,"GP","Thompon",203.713889155662,2.96358881724895e+88,9.44745108308441,1.83880052405501,NA,0.00526477864799779
"10025",1,95,"linear",150,"MEB","ProbOfImp",203.773994454648,3.14717829232449e+88,NA,148.296175456598,NA,0.272687666159213
"10026",1,95,"linear",150,"KAL","ProbOfImp",203.773557054541,3.14580201721387e+88,77.3225381201869,132.938515062311,NA,0.272888579246896
"10027",1,95,"linear",150,"GP","ProbOfImp",205.382483072052,1.57209605461095e+89,9.09493498752495,1.48705981552114,NA,0.0439936537694813
"10028",1,95,"linear",150,"MEB","ExpectedImp",201.848912047083,4.59059183845772e+87,NA,13.5224958857367,NA,0.13108349050551
"10029",1,95,"linear",150,"KAL","ExpectedImp",201.875189026607,4.71281755474028e+87,0.632255794497483,13.1043419824021,NA,0.137064819874235
"10030",1,95,"linear",150,"GP","ExpectedImp",205.476756592552,1.72751388815779e+89,9.70794408861019,1.09909771297526,NA,0.0558060500358369
"10031",1,96,"linear",10,"MEB","UCB",12.4766542217076,262145.303285848,NA,0.00673866345853114,104.716373243768,0
"10032",1,96,"linear",10,"KAL","UCB",12.4766542315958,262145.305877976,0.0297060161702954,0.0067406371084166,25.7503749486479,0
"10033",1,96,"linear",10,"LIN","UCB",10.0349891906276,NA,NA,3.32648811147743,0.341952899323783,0.184405746992904
"10034",1,96,"linear",10,"GP","UCB",12.1973538234234,198263.815319747,1.47017927390337,143.027188531125,125.855880714816,0.207518750075341
"10035",1,96,"linear",10,"MEB","Thompon",9.57346101886267,14378.0931599483,NA,17.4986672602155,NA,0.224269453081304
"10036",1,96,"linear",10,"KAL","Thompon",9.36724407604757,11698.8295351126,0.035536001912232,15.0209924226785,NA,0
"10037",1,96,"linear",10,"LIN","Thompon",10.0835289118267,NA,NA,1.59063301833929,NA,0
"10038",1,96,"linear",10,"GP","Thompon",8.4057270517521,4472.60839847493,0.0233397928830538,16.9840715172273,NA,0.468228171572886
"10039",1,96,"linear",10,"MEB","ProbOfImp",12.4766497395751,262144.128318489,NA,0.00673799796413323,NA,1.66554963154653e-08
"10040",1,96,"linear",10,"KAL","ProbOfImp",12.4766497029677,262144.118722086,90.588722156257,0.00673796045270883,NA,1.54099113469641e-08
"10041",1,96,"linear",10,"LIN","ProbOfImp",10.2449299885362,NA,NA,2.26059855116367,NA,0.23129167258268
"10042",1,96,"linear",10,"GP","ProbOfImp",12.476649250079,262144,0.0200532702490206,0.333710188758894,NA,0
"10043",1,96,"linear",10,"MEB","ExpectedImp",12.476649250079,262144,NA,0.527180242375195,NA,0
"10044",1,96,"linear",10,"KAL","ExpectedImp",12.476649250079,262144,0.573153121448815,0.0689617360779092,NA,0
"10045",1,96,"linear",10,"LIN","ExpectedImp",12.171168989704,NA,NA,0.404448582058322,NA,0
"10046",1,96,"linear",10,"GP","ExpectedImp",12.1330203690942,185910.447015536,50.210221100727,1.71193394125269,NA,0
"10047",1,96,"linear",30,"MEB","UCB",39.6693465818229,169113516873601376,NA,0.557371160142633,0.00674503666855034,0.320329541924844
"10048",1,96,"linear",30,"KAL","UCB",39.669236597992,169094918143956640,0.0149730333468459,0.669494368629703,0.00674181148812389,0.320725258253083
"10049",1,96,"linear",30,"GP","UCB",38.9705657955092,84081738290399024,15.2556043952378,0.943097148631699,0.0124087799896782,0
"10050",1,96,"linear",30,"MEB","Thompon",37.145008029119,13547901089838108,NA,1.37925475201966,NA,0.594141872635643
"10051",1,96,"linear",30,"KAL","Thompon",37.1403721509543,13485240027745706,0.085595479916809,1.37448363451852,NA,0.592658937332659
"10052",1,96,"linear",30,"LIN","Thompon",39.6004911567766,NA,NA,0.604341291241786,NA,0
"10053",1,96,"linear",30,"GP","Thompon",35.8524390313498,3719772968461128,13.1492937431872,9.10464657405599,NA,0
"10054",1,96,"linear",30,"MEB","ProbOfImp",40.2025369191301,288230504890778112,NA,0.00673853281751811,NA,5.61579041047366e-08
"10055",1,96,"linear",30,"KAL","ProbOfImp",40.2025368856282,288230495234503104,113.550342829052,0.00673832704567115,NA,5.19457103997922e-08
"10056",1,96,"linear",30,"LIN","ProbOfImp",38.8945005125624,NA,NA,0.767431572381388,NA,0.043808393809626
"10057",1,96,"linear",30,"GP","ProbOfImp",36.5196456003418,7249041153504647,111.383909778023,119.218215046328,NA,0.662173989119058
"10058",1,96,"linear",30,"MEB","ExpectedImp",40.1777376971359,281170515557445344,NA,2.67848796366707,NA,0.0407624306609176
"10059",1,96,"linear",30,"KAL","ExpectedImp",40.1715526444843,279436828115542752,134.005371882651,1.85596847373155,NA,0.0719319851899749
"10060",1,96,"linear",30,"LIN","ExpectedImp",40.2058838710101,NA,NA,0.00931810227298855,NA,0
"10061",1,96,"linear",30,"GP","ExpectedImp",39.8766587909085,208071630120677120,20.3133432445565,35.39866653305,NA,0.0076260092626278
"10062",1,96,"linear",50,"MEB","UCB",63.9742233662246,6.07648166757138e+27,NA,1.15038576038809,0.00673810007128822,0.738299286783999
"10063",1,96,"linear",50,"KAL","UCB",63.9742956805459,6.07692110010737e+27,0.0109649590414522,1.15136836558223,0.00673847243799127,0.738787987632281
"10064",1,96,"linear",50,"GP","UCB",65.4975773717333,2.78763835016288e+28,138.007389162962,118.642503137,0.470490944516564,0.00671571463690912
"10065",1,96,"linear",50,"MEB","Thompon",62.7083788042371,1.71357407803165e+27,NA,1.43188998947792,NA,0.610235161526556
"10066",1,96,"linear",50,"KAL","Thompon",62.7473182085403,1.78161578636449e+27,0.0103996749249138,1.41372162018451,NA,0.604735290354869
"10067",1,96,"linear",50,"LIN","Thompon",67.1675037311726,NA,NA,0.257002916177601,NA,0
"10068",1,96,"linear",50,"GP","Thompon",64.0352708351384,6.45899236061484e+27,0.0378037175623745,8.23728459805559,NA,0
"10069",1,96,"linear",50,"MEB","ProbOfImp",67.9284238419941,3.1691269668108e+29,NA,0.00673799273806029,NA,7.04324381040067e-08
"10070",1,96,"linear",50,"KAL","ProbOfImp",67.9284238310222,3.16912693203931e+29,103.837251237094,0.00673909321736006,NA,6.51798680584292e-08
"10071",1,96,"linear",50,"LIN","ProbOfImp",67.2128550415502,NA,NA,0.825650437749861,NA,0
"10072",1,96,"linear",50,"GP","ProbOfImp",62.5271648118106,1.42956085252445e+27,146.66407058843,145.821482673013,NA,0.272305282964418
"10073",1,96,"linear",50,"MEB","ExpectedImp",67.3052418767963,1.69939818569043e+29,NA,8.96669311376222,NA,0.208916753809625
"10074",1,96,"linear",50,"KAL","ExpectedImp",67.2706258170434,1.64157823945873e+29,9.02056241072356,4.04916780518763,NA,0.212919817851053
"10075",1,96,"linear",50,"LIN","ExpectedImp",67.9378170134492,NA,NA,0.011438740739884,NA,0
"10076",1,96,"linear",50,"GP","ExpectedImp",67.7229722529043,2.5805551651519e+29,0.385334321505366,148.117338205543,NA,1.86798306822666e-08
"10077",1,96,"linear",70,"MEB","UCB",81.4464201152599,2.35359009043117e+35,NA,2.02007225395415,0.00673821510240217,0.463649943077981
"10078",1,96,"linear",70,"KAL","UCB",81.4465566804396,2.35391153083313e+35,0.00995665356125305,2.00759932969115,0.00673858908849277,0.463058982095225
"10079",1,96,"linear",70,"GP","UCB",82.0595335881747,4.34512850382283e+35,90.8581725698375,52.7788500520614,0.0148642746379963,0
"10080",1,96,"linear",70,"MEB","Thompon",83.8286461031158,2.54869829256423e+36,NA,1.83179659076062,NA,0.712684008377342
"10081",1,96,"linear",70,"KAL","Thompon",83.9096444223706,2.76372960745684e+36,0.161871693147942,1.75202722631303,NA,0.697693658394198
"10082",1,96,"linear",70,"GP","Thompon",87.6132676283137,1.12191168798274e+38,145.544746641349,4.02964395895749,NA,0
"10083",1,96,"linear",70,"MEB","ProbOfImp",93.8177207382041,5.55288170116299e+40,NA,148.290662166799,NA,0.198998862043339
"10084",1,96,"linear",70,"KAL","ProbOfImp",93.8173824527761,5.55100355989213e+40,55.9570692640183,120.137349261229,NA,0.199050905455432
"10085",1,96,"linear",70,"GP","ProbOfImp",79.6188926428629,3.78482435803136e+34,80.316917538161,148.357319603912,NA,0.423326997342292
"10086",1,96,"linear",70,"MEB","ExpectedImp",91.4493109696986,5.19913540207147e+39,NA,16.3780668530936,NA,0.3796417415077
"10087",1,96,"linear",70,"KAL","ExpectedImp",91.359839990475,4.75416636804369e+39,4.05127546232351,7.85521168359892,NA,0.359215473092389
"10088",1,96,"linear",70,"GP","ExpectedImp",92.6753371689311,1.77168921311721e+40,148.184167911774,4.76775540665846,NA,0
"10089",1,96,"linear",90,"MEB","UCB",109.833779273584,5.01423016356262e+47,NA,1.66551566018067,0.00673945060853323,0
"10090",1,96,"linear",90,"KAL","UCB",109.837106492762,5.03094139186969e+47,0.0165481049312091,1.57026668563512,0.00677806379990776,0
"10091",1,96,"linear",90,"GP","UCB",102.046663693597,2.08114786955915e+44,142.324584258124,50.6110370711532,0.0144665124443715,0.22477656240514
"10092",1,96,"linear",90,"MEB","Thompon",114.621597453936,6.01904071664183e+49,NA,1.52027024407785,NA,0
"10093",1,96,"linear",90,"KAL","Thompon",114.563189728422,5.6775521010457e+49,1.10196883782286,1.52351419215923,NA,0
"10094",1,96,"linear",90,"GP","Thompon",119.330999919825,6.6802818323395e+51,0.0814117765610867,6.18330750966661,NA,0.460633694442905
"10095",1,96,"linear",90,"MEB","ProbOfImp",121.91059760068,8.81251407225881e+52,NA,1.00292005446988,NA,0
"10096",1,96,"linear",90,"KAL","ProbOfImp",121.865357106383,8.42271540309167e+52,147.786334010331,0.994533370057334,NA,0
"10097",1,96,"linear",90,"GP","ProbOfImp",101.715289220039,1.49413153992677e+44,148.028471324932,148.386701755799,NA,0.183983251240226
"10098",1,96,"linear",90,"MEB","ExpectedImp",121.225747463254,4.44296802655177e+52,NA,8.70274296988135,NA,0
"10099",1,96,"linear",90,"KAL","ExpectedImp",121.045285616755,3.7093652897903e+52,15.2550553512548,3.72487590850649,NA,0
"10100",1,96,"linear",90,"GP","ExpectedImp",122.717868288606,1.97557275713248e+53,97.7178270828415,1.55697068615008,NA,0.639773357505651
"10101",1,96,"linear",110,"MEB","UCB",142.381842272439,6.84933522282974e+61,NA,1.11940629826388,0.00675306958950918,0.295998509767873
"10102",1,96,"linear",110,"KAL","UCB",142.380926402253,6.84306499270122e+61,0.012313609459119,1.12566236170014,0.00673860036104274,0.296894063765617
"10103",1,96,"linear",110,"GP","UCB",130.771794353122,6.21539417086417e+56,144.260386303455,135.009932832867,0.0414995100284826,0
"10104",1,96,"linear",110,"MEB","Thompon",144.5196761822,5.80895339782841e+62,NA,1.36654871382717,NA,0
"10105",1,96,"linear",110,"KAL","Thompon",144.493520321177,5.65898504546663e+62,0.0448425509974466,1.35185585658924,NA,0
"10106",1,96,"linear",110,"GP","Thompon",146.744794646981,5.37594185960364e+63,5.80215665528474,7.83251411910923,NA,0.280129549568241
"10107",1,96,"linear",110,"MEB","ProbOfImp",149.135674449963,5.8721949949267e+64,NA,1.10942102695093,NA,0
"10108",1,96,"linear",110,"KAL","ProbOfImp",149.092088769083,5.6217489550812e+64,123.086546452284,1.09511071450999,NA,0
"10109",1,96,"linear",110,"GP","ProbOfImp",130.75541679387,6.11443021289663e+56,147.709607319615,148.265134979713,NA,0
"10110",1,96,"linear",110,"MEB","ExpectedImp",148.586445911576,3.39057647974391e+64,NA,7.37420816301612,NA,0
"10111",1,96,"linear",110,"KAL","ExpectedImp",148.438200224205,2.92342031803231e+64,17.2441196806914,3.27026758146196,NA,0
"10112",1,96,"linear",110,"GP","ExpectedImp",150.997938592001,3.7806938363887e+65,7.75831636121259,136.698127157501,NA,0
"10113",1,96,"linear",130,"MEB","UCB",158.189041074379,5.01912065876987e+68,NA,1.52866690769092,0.0067425530765305,0
"10114",1,96,"linear",130,"KAL","UCB",158.189687389076,5.022365638742e+68,0.0092433186799861,1.54608059023432,0.00674971203481871,0
"10115",1,96,"linear",130,"GP","UCB",147.412582670319,1.04826531675423e+64,146.799198286119,66.5868024884975,0.0194204194666521,0
"10116",1,96,"linear",130,"MEB","Thompon",168.137628474859,1.05013285663502e+73,NA,1.70683789970412,NA,0
"10117",1,96,"linear",130,"KAL","Thompon",168.164631034306,1.07887544685208e+73,0.26266756711496,1.57703269658902,NA,0
"10118",1,96,"linear",130,"GP","Thompon",174.542624680986,6.35182838707766e+75,1.88159759521253,4.96265705250814,NA,0.106429908626129
"10119",1,96,"linear",130,"MEB","ProbOfImp",173.14585757115,1.57141360027015e+75,NA,2.03515979718651,NA,0
"10120",1,96,"linear",130,"KAL","ProbOfImp",173.097729025481,1.49757487675301e+75,89.6224821844051,1.93488091722429,NA,0
"10121",1,96,"linear",130,"GP","ProbOfImp",151.195802707658,4.60789742545553e+65,148.387765505032,148.402082140372,NA,0
"10122",1,96,"linear",130,"MEB","ExpectedImp",171.875014399045,4.40930692606793e+74,NA,10.6405570608516,NA,0
"10123",1,96,"linear",130,"KAL","ExpectedImp",171.663854759343,3.56997244681831e+74,57.1225054785706,4.64733635241639,NA,0
"10124",1,96,"gp",130,"GP","ExpectedImp",133.919248430783,1.44674041626317e+58,0.144258542568967,29.2387187755156,NA,0
"10125",1,96,"linear",150,"MEB","UCB",190.441365623182,5.10075209094315e+82,NA,1.21198021688554,0.00673851952793196,0.20568517352932
